imam_id,chapter_id,chapter_text,
1,1,Revelation - كتاب بدء الوحى
1,2,Belief - كتاب الإيمان
1,3,Knowledge - كتاب العلم
1,4,Ablutions (Wudu') - كتاب الوضوء
1,5,Bathing (Ghusl) - كتاب الغسل
1,6,Menstrual Periods - كتاب الحيض
1,7,Rubbing hands and feet with dust (Tayammum) - كتاب التيمم
1,8,Prayers (Salat) - كتاب الصلاة
1,9,Times of the Prayers - كتاب مواقيت الصلاة
1,10,Call to Prayers (Adhaan) - كتاب الأذان
1,11,Friday Prayer - كتاب الجمعة
1,12,Fear Prayer - كتاب صلاة الخوف
1,13,The Two Festivals (Eids) - كتاب العيدين
1,14,Witr Prayer - كتاب الوتر
1,15,Invoking Allah for Rain (Istisqaa) - كتاب الاستسقاء
1,16,Eclipses - كتاب الكسوف
1,17,Prostration During Recital of Qur'an - كتاب سجود القرآن
1,18,Shortening the Prayers (At-Taqseer) - كتاب التقصير
1,19,Prayer at Night (Tahajjud) - كتاب التهجد
1,20,Virtues of Prayer at Masjid Makkah and Madinah - كتاب فضل الصلاة فى مسجد مكة والمدينة
1,21,Actions while Praying - كتاب العمل فى الصلاة
1,22,Forgetfulness in Prayer - كتاب السهو
1,23,Funerals (Al-Janaa'iz) - كتاب الجنائز
1,24,Obligatory Charity Tax (Zakat) - كتاب الزكاة
1,25,Hajj (Pilgrimage) - كتاب الحج
1,26,`Umrah (Minor pilgrimage) - كتاب العمرة
1,27,Pilgrims Prevented from Completing the Pilgrimage - كتاب المحصر
1,28,Penalty of Hunting while on Pilgrimage - كتاب جزاء الصيد
1,29,Virtues of Madinah - كتاب فضائل المدينة
1,30,Fasting - كتاب الصوم
1,31,Praying at Night in Ramadaan (Taraweeh) - كتاب صلاة التراويح
1,32,Virtues of the Night of Qadr - كتاب فضل ليلة القدر
1,33,Retiring to a Mosque for Remembrance of Allah (I'tikaf) - كتاب الاعتكاف
1,34,Sales and Trade - كتاب البيوع
1,35,Sales in which a Price is paid for Goods to be Delivered Later (As-Salam) - كتاب السلم
1,36,Shuf'a - كتاب الشفعة
1,37,Hiring - كتاب الإجارة
1,38,Transferance of a Debt from One Person to Another (Al-Hawaala) - كتاب الحوالات
1,39,Kafalah - كتاب الكفالة
1,40,Representation; Authorization; Business by Proxy - كتاب الوكالة
1,41,Agriculture - كتاب المزارعة
1,42,Distribution of Water - كتاب المساقاة
1,43,Loans; Payment of Loans; Freezing of Property; Bankruptcy - كتاب فى الاستقراض
1,44,Khusoomaat - كتاب الخصومات
1,45,Lost Things Picked up by Someone (Luqatah) - كتاب فى اللقطة
1,46,Oppressions - كتاب المظالم
1,47,Partnership - كتاب الشركة
1,48,Mortgaging - كتاب الرهن
1,49,Manumission of Slaves - كتاب العتق
1,50,Makaatib - كتاب المكاتب
1,51,Gifts - كتاب الهبة وفضلها والتحريض عليها
1,52,Witnesses - كتاب الشهادات
1,53,Peacemaking - كتاب الصلح
1,54,Conditions - كتاب الشروط
1,55,Wills and Testaments (Wasaayaa) - كتاب الوصايا
1,56,Fighting for the Cause of Allah (Jihaad) - كتاب الجهاد والسير
1,57,One-fifth of Booty to the Cause of Allah (Khumus) - كتاب فرض الخمس
1,58,Jizyah and Mawaada'ah - كتاب الجزية والموادعة
1,59,Beginning of Creation - كتاب بدء الخلق
1,60,Prophets - كتاب أحاديث الأنبياء
